rmse,mae,mbe,r2,slope,intercept,resid_std,rmse_raw,mae_raw,mbe_raw,slope_raw,intercept_raw,mae_bin0,mbe_bin0,mae_bin1,mbe_bin1,mae_bin2,mbe_bin2,mae_bin3,mbe_bin3,mae_bin4,mbe_bin4,fold_id,training_time
51.545726707388496,36.736149959539084,4.337704038729292,0.812941911299466,0.9840784646581777,13.99520054641971,51.36288801717808,52.10022830718169,36.957820487783735,3.6814583202099853,1.0558318490197218,-67.93258631995673,67.63398460553773,62.15158833645194,21.056194356108133,2.8367974199598676,14.303538841857568,-13.393253569318587,40.942120187726196,-18.671927380352397,40.39624901598177,-6.919169899006672,0,0.36391305923461914
52.21737540775785,33.923229092348436,-1.0895529738093586,0.7937334633946476,1.001963380743953,-1.1485536202665116,52.20600701827307,52.93294235702084,34.468740169023036,-0.36478676318019965,1.0843832601392138,-95.88695057060363,54.89774572494081,50.550247300114975,27.436365372262586,-6.169753902420822,15.867228442222,-10.364562759609019,30.48685728121574,-11.709862414754218,42.090132032002224,-26.34214427673897,1,0.36443352699279785
51.81379145741629,34.6341839181442,0.5170303626739746,0.80523706152633,0.9381118161020994,70.36155565840545,51.81121176730669,51.55030402825467,34.225336337468185,0.7064520258451831,1.0123098647901327,-14.806883862090444,54.525995720872594,46.22876837045156,31.482658467693252,8.506215680137425,11.469662224503846,-8.441777170024308,45.986951347051146,-40.59901858047149,29.287045309290566,5.008531098067468,2,0.3464052677154541
52.60466073663506,33.95559251792063,3.8715686383503174,0.8242799676023627,1.0609749558460964,-73.57115296034272,52.4619985083967,54.885244217799816,35.10842135561782,4.159247172986666,1.1457614398691742,-170.81895945267752,66.44174024397057,60.82357483637573,27.35359823140969,-6.353380413213677,10.773386168477366,-0.11175813229754915,32.80021434808815,-24.207403563741412,31.091193626629074,-9.668795431675193,3,0.3029921054840088
53.215861973669476,37.71742386695749,-1.9793472856680363,0.7880400730492803,0.9364569155350929,74.07065624934262,53.17903863293657,53.02365383708023,37.58360159735321,-0.6909153033152848,1.016718134209906,-18.297790048088473,61.483080207037645,48.7831701242931,30.593843322492763,3.0579000505134553,24.705302581065208,-16.085024711689123,39.220845477377765,-32.14803049622266,34.29475109021078,-7.16127517926697,4,0.29328322410583496
47.89088916736787,33.336141060668645,2.0522477290970835,0.8348225004487451,0.9942041427942682,4.622755211170215,47.84689691609613,48.612620936578196,34.25420139332878,1.5999932702966586,1.070194344712264,-82.41003519231435,58.516878274553136,53.69164147223505,25.22623864214764,-18.916148389820737,10.585280217722568,-1.6778937261304692,40.57504321152788,-15.955334823484211,28.418867347404184,-7.056585438487218,5,0.2965667247772217
53.879748432053795,36.84169210724454,-2.835990237740424,0.7841380887220502,0.952104460490266,57.99486718717321,53.805059710707916,53.63261269772503,36.398836664681454,-3.125328066714771,1.0292096032358087,-30.505447172123013,50.259833577467,36.773398730376904,38.76472929518441,-5.023658687038271,13.863868688359974,-9.264508643751325,42.43129125191525,-21.29179402173887,35.688203766182724,-14.550632972432899,6,0.2991361618041992
57.46308259785465,37.673201249757454,-1.7692679083140288,0.7688852252082139,1.0188870965850207,-20.081619892530398,57.43583857415573,58.370504510730434,38.31525860572281,-2.7199855432548325,1.093352694089868,-105.1929997428092,66.84828581902377,56.860683010264374,28.2127955765304,-1.9614844397852695,21.2318910633231,-17.92465775861347,35.29678383373396,-20.328338642045864,37.8420891520307,-22.529672871339603,7,0.2934248447418213
51.678402873964465,37.015328230151184,-7.584825098908319,0.8347304528948416,1.0624247457460285,-64.13897968983133,51.11876125086316,53.100687085135135,38.310967556072676,-7.28838376344536,1.1476437541477609,-162.3927877408271,57.33296454320094,46.92825192220041,27.933144871295326,-16.042032449553098,24.132236832328516,-18.415127318723037,37.28073502185499,-18.88035561739526,38.47144409778324,-31.87581783854552,8,0.30066871643066406
64.42622875550174,41.93029529721448,4.480432735590041,0.7470631724330128,1.06438973895675,-78.50020236813589,64.27024719229024,65.26150299768663,42.52135728613966,4.211490214590764,1.1492047263334566,-175.69091925470684,81.52144284233312,79.40459235728004,26.724782615862985,-2.93702257791223,35.237782454320644,-17.416915566000416,23.45607117966486,-12.081857441736801,48.34391299886081,-24.752822286983474,9,0.2911343574523926
