exp_id,feature_set,T_delta_rmse,T_pct_rmse,T_delta_mbe,P_delta_rmse,P_pct_rmse,P_delta_mbe
E01_ert_raw_none_liq,Liquid,0.0,0.0,0.0,0.0,0.0,0.0
E02_catboost_raw_none_liq,Liquid,4.182098734934989,13.017390723457348,-0.24833748549199236,0.20016598546263786,9.819270411641714,0.03633706121929905
E03_stacking_raw_none_liq,Liquid,-0.5106572285155622,-1.5894949140764971,-0.5562100291303895,-0.036173211919522164,-1.7745000414254124,0.014188038354364987
E04_ert_balanced_none_liq,Liquid,0.06960358006475786,0.2166512688678749,0.4037232507757763,0.013601216422493678,0.667216368810355,0.020964630622251516
E05_catboost_balanced_none_liq,Liquid,4.404024831343278,13.70816798429676,0.30291323109659873,0.24878130741989724,12.204126116990594,0.02484214985948205
E06_stacking_balanced_none_liq,Liquid,-0.45267494980141265,-1.4090166363272223,0.03461035276444879,-0.018947713346777917,-0.9294921942120532,0.056332890445345674
E07_ert_augmented_none_liq,Liquid,-1.144597387198239,-3.5627258834766575,0.5893475965780127,-0.10390328973539464,-5.097042318218612,0.0704564018745271
E08_catboost_augmented_none_liq,Liquid,-0.6990820063707623,-2.1759944471536192,-0.5849022334959294,-0.08257841161090163,-4.050936785773968,0.06828715120530267
E09_stacking_augmented_none_liq,Liquid,-0.19672245747501904,-0.6123272680387479,0.9612596742949276,-0.03123466415974452,-1.5322364231488916,0.07347365417063267
E10_ert_augmented_segmented_liq,Liquid,-1.61253536937933,-5.0192509285488365,-0.6156150619768038,-0.14958569139964562,-7.33802174315812,0.0012456480915171587
E11_catboost_augmented_segmented_liq,Liquid,-0.7569332614257824,-2.3560648947025555,-0.6218028399549036,-0.10643995173627174,-5.221479894722827,0.0038829813779926356
E12_stacking_augmented_segmented_liq,Liquid,-0.48745933793286866,-1.5172881048129117,-0.6103551121375056,-0.048683075810673104,-2.3881794139528285,0.001257317517335234
E01_ert_raw_none_noliq,NoLiquid,0.0,0.0,0.0,0.0,0.0,0.0
E02_catboost_raw_none_noliq,NoLiquid,5.081986287478209,9.350526367657624,0.3262657502604115,0.20103799980557158,8.273432288800418,0.004199011781921395
E03_stacking_raw_none_noliq,NoLiquid,-0.6159544848262399,-1.1333164486956362,-0.26526922634922373,-0.017696695778895766,-0.7282822869496964,-0.007215795792665881
E04_ert_balanced_none_noliq,NoLiquid,0.08338065557963859,0.15341501815363418,-0.046795966512858056,0.030284438973772865,1.2463129134598279,0.04893258749555314
E05_catboost_balanced_none_noliq,NoLiquid,5.269984880685463,9.696431630566012,-0.19928393286557225,0.23413629470939235,9.635545431720377,0.0035876336870897946
E06_stacking_balanced_none_noliq,NoLiquid,-0.48480554104317974,-0.8920108670659631,0.9564713425076518,0.01506431395988539,0.6199503658257576,0.04158999610535297
E07_ert_augmented_none_noliq,NoLiquid,-1.4250075778900495,-2.6219218583891086,0.36660729112024193,-0.0807704134050633,-3.323991220025504,0.005599477300422467
E08_catboost_augmented_none_noliq,NoLiquid,0.6268283759616224,1.1533237057067305,0.4597810176931324,-0.014948621449645927,-0.6151892054943116,0.009330699670634799
E09_stacking_augmented_none_noliq,NoLiquid,-0.7491023052614452,-1.3782998341965298,0.10608911830902823,0.023761103088476787,0.9778543245547701,0.006637540199988287
E10_ert_augmented_segmented_noliq,NoLiquid,-2.016791319315473,-3.710765701156607,-0.3543065681274324,-0.09583173549900526,-3.9438184598734654,-0.01745368777514049
E11_catboost_augmented_segmented_noliq,NoLiquid,0.5655352805179064,1.0405483708905046,-0.3533928534301356,-0.023513534834421534,-0.9676660059843328,-0.017085416224311162
E12_stacking_augmented_segmented_noliq,NoLiquid,-0.9158956493759121,-1.6851888090713565,-0.3543065681272105,0.01714618201989282,0.7056266779923414,-0.016025217023801747
