exp_id,exp_num,model,data,corr,feature_set,P_mae,P_mbe,P_r2,P_rmse,T_mae,T_mbe,T_r2,T_rmse
E01_ert_raw_none_liq,E01,ert,raw,none,Liquid,1.2268125592702968,-0.004955419992916929,0.9091283065960558,2.026412241897809,20.4834953799244,-0.7522399286944702,0.9274100842279948,32.16190232404925
E01_ert_raw_none_noliq,E01,ert,raw,none,NoLiquid,1.4947944212824347,0.034202964769982615,0.8718229482081202,2.4085086966440206,36.6600439057427,0.5266701438459913,0.7942221531884288,54.39996932653055
E02_catboost_raw_none_liq,E02,catboost,raw,none,Liquid,1.224479016495727,-0.03529879540255233,0.9141173280588598,1.968109301249229,20.644003326474525,-0.17287328781639172,0.9311284026754978,31.350655377330252
E02_catboost_raw_none_noliq,E02,catboost,raw,none,NoLiquid,1.575587924638063,-0.004961607751310848,0.8664932154631838,2.4616866761507974,38.38020633423122,0.6666167988571691,0.7851670795566567,55.60290425773601
E03_stacking_raw_none_liq,E03,stacking,raw,none,Liquid,1.2950370456045117,-0.014989959777560308,0.908734418541075,2.0289521675941797,21.494359364192746,0.006469744293466323,0.9259834409680463,32.50123390854929
E03_stacking_raw_none_noliq,E03,stacking,raw,none,NoLiquid,1.5800628561048395,-0.003123369527906974,0.8648828775615307,2.474329657642977,38.69496961333625,-0.241452602710092,0.7864072791241332,55.39618592328073
E04_ert_balanced_none_liq,E04,ert,balanced,none,Liquid,1.2639648370004812,0.0295048571582432,0.9059010888110055,2.0590872525168127,20.773934012539915,-0.8709584660769458,0.9259061295326931,32.52074152028224
E04_ert_balanced_none_noliq,E04,ert,balanced,none,NoLiquid,1.5313952247570357,0.075901735928873,0.87015337844622,2.4263148032117576,36.81445414531914,0.01692415640188081,0.7945851077400997,54.347030097519266
E05_catboost_balanced_none_liq,E05,catboost,balanced,none,Liquid,1.2446362466794825,-0.010005440454555495,0.9135926001488134,1.9722615622914652,20.686717663693358,-0.21002030535960087,0.9317920081797011,31.16368642413591
E05_catboost_balanced_none_noliq,E05,catboost,balanced,none,NoLiquid,1.611199575698792,0.028777506391478948,0.8652510973733263,2.473749412054935,38.40372520919685,-0.2917254108056079,0.7864883886529326,55.415919875040956
E06_stacking_balanced_none_liq,E06,stacking,balanced,none,Liquid,1.3396764543235324,0.07198757556605695,0.9057204990054775,2.0626161097975695,21.818668189351364,-0.4376912887978913,0.9245813340100751,32.798829156347715
E06_stacking_balanced_none_noliq,E06,stacking,balanced,none,NoLiquid,1.6443747883078206,0.06657236673053538,0.8610441557200286,2.5088126839290306,39.54951500522174,-1.1707705861655608,0.7819632232645783,55.95948744064119
E07_ert_augmented_none_liq,E07,ert,augmented,none,Liquid,1.1008061736927641,-0.0768356326378117,0.9196607173977591,1.907455902914282,19.225989996678106,-1.4452193406294371,0.9338764714327021,30.685638634979767
E07_ert_augmented_none_noliq,E07,ert,augmented,none,NoLiquid,1.3855346352664977,-0.019168979476373294,0.8820486534543758,2.3149591525494335,35.06821573467697,0.663267092569947,0.8086061013713085,52.42460952561792
E08_catboost_augmented_none_liq,E08,catboost,augmented,none,Liquid,1.1166186180541406,-0.07118663782873721,0.9237206727887421,1.848690776670399,19.301710991281947,-0.2782719544050876,0.9378479110919468,29.724989483302032
E08_catboost_augmented_none_noliq,E08,catboost,augmented,none,NoLiquid,1.4700350728498386,-0.022752418078439057,0.8791374934346928,2.344917396110342,36.77822310222223,0.8469380210536979,0.7954750831370212,54.14331810439554
E09_catboost_raw_segmented_liq,E09,catboost,raw,segmented,Liquid,1.17226920544956,0.00553823253519351,0.9161472749664089,1.9435634160551456,20.598403842019316,-0.017458138009922203,0.9321723089495858,31.104925530413226
E09_catboost_raw_segmented_noliq,E09,catboost,raw,segmented,NoLiquid,1.535999728952376,0.002713682994432036,0.8677681289091723,2.44964076888616,38.13014502420619,1.6919798895287386e-14,0.7861489912535358,55.47271366299181
E10_ert_balanced_segmented_liq,E10,ert,balanced,segmented,Liquid,1.1506529975076771,0.0029002867273936438,0.9114797846484588,1.992794171392881,20.493164237988882,1.833533325168446e-14,0.9289469966436197,31.818594761944716
E10_ert_balanced_segmented_noliq,E10,ert,balanced,segmented,NoLiquid,1.4417033668746755,0.0032102651073847564,0.873716390725696,2.3918716753862226,36.37632372999461,5.4090065759737625e-14,0.799387191657895,53.67357681096097
E11_catboost_balanced_segmented_liq,E11,catboost,balanced,segmented,Liquid,1.1953398594692488,0.05011446699262736,0.916378441900366,1.9386778271474039,21.146578486161555,-0.425320821178018,0.9317625885825613,31.178015556200922
E11_catboost_balanced_segmented_noliq,E11,catboost,balanced,segmented,NoLiquid,1.6030092363675732,0.05761854897890754,0.8640652246692196,2.4841591464196577,39.956648515035326,-1.919199390308222,0.7793742047199154,56.30074320715121
E12_stacking_balanced_segmented_liq,E12,stacking,balanced,segmented,Liquid,1.2615506656559612,0.05387336708056607,0.9063559756114952,2.053293505095909,22.450789379028397,-0.0193775018797051,0.9225842069590179,33.25240597195332
E12_stacking_balanced_segmented_noliq,E12,stacking,balanced,segmented,NoLiquid,1.6018364010065773,0.0663122807280658,0.86000214773329,2.519848727001782,40.17507706218223,-0.8695966694624009,0.7741172152176005,56.96384843086865
