rmse,mae,mbe,r2,slope,intercept,resid_std,rmse_raw,mae_raw,mbe_raw,slope_raw,intercept_raw,mae_bin0,mbe_bin0,mae_bin1,mbe_bin1,mae_bin2,mbe_bin2,mae_bin3,mbe_bin3,mae_bin4,mbe_bin4,fold_id,training_time
1.8667908046503277,1.1048595837436694,-0.20188573663315953,0.9294084469126411,0.9916097929366535,0.2488208346625349,1.8558421424439913,1.9102649159362706,1.2158164921354655,-0.1706089013225827,1.0488223704970387,-0.10403207614451127,0.36649746629826163,0.36649746629826163,0.5944871858252104,0.48928291672512525,1.2232393947537819,-0.06932964412380663,1.4994847198884358,-1.0812864870603842,1.687518519185549,-0.7884115818565941,0,0.42304205894470215
2.22519041424333,1.1807286849124123,0.014041157634491808,0.8915543805264189,0.9951515341359084,0.012576110581444588,2.2251461132996826,2.250759496108779,1.2994333077808218,0.07948610396268634,1.060097416645619,-0.41334396120067396,,,0.8322375207968156,0.817102017160763,0.891098543667684,-0.06612506321825225,1.7685504335884525,-0.8756542315154292,1.6504623707902093,-0.7129949671843576,1,0.4335019588470459
1.8468777270553272,1.061421703100111,-0.08705952805880915,0.9246268097872589,1.014342934276038,0.009637056829521207,1.8448246467529723,1.9484568683008467,1.1826403858869219,-0.04635730561816045,1.0747525935860633,-0.3601962055666119,0.8398750249017531,0.8398750249017531,0.2872149800253532,0.17116364122128458,0.7260251636650011,-0.0021431873682157543,1.8625603877417447,-0.39048580189376997,1.636275510414109,-0.7896301389661495,2,0.41268301010131836
2.20483580742786,1.324208060768905,-0.06045034533272206,0.8915555265865159,1.0084157347468845,0.01414502253008898,2.2040069631163193,2.2692722234426017,1.4256707995894946,-0.05514352825869558,1.0695157161639763,-0.3277169585306021,0.5000209099059401,0.5000209099059401,0.7020438109986973,0.6428512836405486,1.3967780347119867,0.731561782901724,1.6636904306741824,-1.2503115439521055,2.0607580366634446,-0.9478340044584501,3,0.42371678352355957
2.007548137302948,1.1990017157418056,0.27092440051282574,0.8910359369671299,0.9480474721898592,0.007492776027984149,1.989183121986335,2.005656303963343,1.2741760149531594,0.3683576001344444,1.0182386151594798,-0.4678766422138283,1.2567898854439665,1.2567898854439665,0.33766265727943773,0.2962921477934026,1.1152996426373143,0.30895937196751677,1.7235181401079558,-0.8764206147410389,1.601484214448463,0.028071409945407022,4,0.4290192127227783
1.9410159349373364,1.0971391127801986,0.061714117096409234,0.9184868470562034,1.0026456561249757,-0.07710565044837203,1.9400345943904382,1.999797508830239,1.2208695309307318,0.08377580199984586,1.0706519337450449,-0.49636357951453025,,,0.5663590496828314,0.5658359727597544,1.4956415311116669,0.5999876639843361,1.5249231818654125,-0.9294130169178831,1.3302977412427417,-0.5244278041042344,5,0.4153709411621094
2.359369663710092,1.33658564084123,-0.02318787697327872,0.8694992916974235,1.0327488092592625,-0.16334280922136823,2.359255715770748,2.4278458159386256,1.4191660476862928,-0.015104442532044942,1.1041691529775748,-0.5790643220942799,1.2793791772866998,1.2793791772866998,0.2393443513623913,0.10873607987584805,1.433030890697752,0.4653350813810084,1.0264807116374375,-0.6033202828401457,2.0179413017051675,-1.036264061187256,6,0.42188429832458496
1.8537695139632016,1.107028024172418,0.11254882357368144,0.9272943558550881,1.0100104596882888,-0.1753736553854024,1.850349743484065,1.9463239624408202,1.2271609667593655,0.08983695682678629,1.0716575742831393,-0.5379265947013891,0.5762446659861551,0.5762446659861551,0.7250832285579023,0.7010062548290701,1.1721565264756868,0.16044503519814668,1.2983701828513317,0.10297824758734721,1.656976260205854,-0.8796974745064675,7,0.4287447929382324
1.829930514353766,1.0493209877686378,-0.09612668626201819,0.9383960923479094,1.0497188673029034,-0.20484003456250743,1.8274039913361584,1.9805470404495003,1.1918381528469932,-0.11146024765128296,1.111547358279222,-0.5620668135169362,0.594980888207132,0.594980888207132,0.4967105568824814,0.4331877454315686,0.9587799880949167,0.16145137414983934,1.2089585458243788,-0.12761556906539911,1.6234954796033785,-0.925182994459938,8,0.4207427501678467
1.7926131962846252,1.046236461247384,0.03848454171651571,0.9329401587480008,0.9965308696649119,-0.0190964781435099,1.7922000478581208,1.8519483897571016,1.1828766714355654,0.07226653404143578,1.051578084941083,-0.3622653930212829,0.3677568728254037,0.3677568728254037,0.5592189885593781,0.5225228403653863,0.8566278715379676,0.21576331282956704,1.6645746818877911,-0.13564443631330964,1.6990219727635623,-0.5372433384886862,9,0.4281752109527588
