iter	RMSE
204	2.153162975
205	2.150257194
206	2.148272212
207	2.146598546
208	2.144386634
209	2.144366956
210	2.143288381
211	2.142182319
212	2.13952917
213	2.13818166
214	2.134133693
215	2.132052884
216	2.130574998
217	2.128914863
218	2.126721188
219	2.124630993
220	2.123005163
221	2.122398048
222	2.118859271
223	2.118343504
224	2.116384601
225	2.114219242
226	2.112981489
227	2.111091881
228	2.109922724
229	2.109167392
230	2.106637929
231	2.105859305
232	2.105268696
233	2.103917421
234	2.103493728
235	2.101512791
236	2.099836131
237	2.097654362
238	2.096811427
239	2.095113963
240	2.094804095
241	2.091698509
242	2.090172308
243	2.086609313
244	2.085851899
245	2.082365209
246	2.081735463
247	2.080907035
248	2.07978164
249	2.078240712
250	2.077679746
251	2.076869881
252	2.076618725
253	2.076248188
254	2.074517029
255	2.073366453
256	2.071085869
257	2.068400541
258	2.068232558
259	2.066779298
260	2.065438303
261	2.06400598
262	2.060810842
263	2.060284584
264	2.058026258
265	2.056727861
266	2.053168481
267	2.052288777
268	2.051083487
269	2.050131301
270	2.047549102
271	2.046131569
272	2.043597973
273	2.042404483
274	2.039562942
275	2.03881636
276	2.038753579
277	2.038390213
278	2.037047016
279	2.036656045
280	2.034022258
281	2.033008354
282	2.032836891
283	2.032689852
284	2.032047142
285	2.028693506
286	2.028349697
287	2.02731987
288	2.026049785
289	2.02574238
290	2.025192446
291	2.024886862
292	2.024331049
293	2.022048062
294	2.020940308
295	2.019477124
296	2.019284944
297	2.017575134
298	2.016479338
299	2.016339015
300	2.015662877
301	2.014566882
302	2.011768797
303	2.011586684
304	2.010438981
305	2.007711268
306	2.007541932
307	2.007134667
308	2.006749402
309	2.006149382
310	2.005946287
311	2.005557978
312	2.005447572
313	2.005222307
314	2.005199786
315	2.005095835
316	2.002154263
317	2.002144747
318	2.001189867
319	2.000295981
320	1.999776733
321	1.999677017
322	1.999220433
323	1.998707966
324	1.998612715
325	1.997540712
326	1.996064547
327	1.996035913
328	1.995895284
329	1.995742624
330	1.995715258
331	1.995217169
332	1.99432379
333	1.993028643
334	1.992945442
335	1.992919383
336	1.989848327
337	1.989496103
338	1.988525213
339	1.988371349
340	1.987867586
341	1.987334865
342	1.986111402
343	1.984904676
344	1.98407195
345	1.983716992
346	1.980443414
347	1.979360857
348	1.979354012
349	1.978983376
350	1.978691268
351	1.978684564
352	1.978178762
353	1.978106851
354	1.978098932
355	1.977833593
356	1.97709832
357	1.97665444
358	1.976632308
359	1.97578281
360	1.973354414
361	1.97334855
362	1.973342757
363	1.972683072
364	1.972675418
365	1.972609673
366	1.972605023
367	1.972086212
368	1.971545147
369	1.968918156
370	1.968756738
371	1.968249102
372	1.968242004
373	1.967913665
374	1.967907139
375	1.967900972
376	1.967652905
377	1.967649391
378	1.967645805
379	1.967640569
380	1.967630528
381	1.966435497
382	1.965811974
383	1.965807164
384	1.963796281
385	1.961669316
386	1.960877533
387	1.959836806
388	1.959611411
389	1.959606658
390	1.959403708
391	1.958980817
392	1.956643507
393	1.955812385
394	1.9558082
395	1.953603771
396	1.953271021
397	1.952146503
398	1.952143033
399	1.951256332
400	1.95108253
401	1.948306701
402	1.947801343
403	1.94779772
404	1.94779417
405	1.945413896
406	1.944390658
407	1.944387174
408	1.942125021
409	1.941735869
410	1.941726348
411	1.941039269
412	1.941035852
413	1.940875096
414	1.938065351
415	1.937902383
416	1.937879007
417	1.937873909
418	1.936204087
419	1.934712415
420	1.934497516
421	1.934439885
422	1.932774909
423	1.929590653
424	1.929453738
425	1.929190779
426	1.929017038
427	1.928996261
428	1.928721167
429	1.927866223
430	1.927866003
431	1.927713812
432	1.927070217
433	1.926332491
434	1.925535118
435	1.925198689
436	1.922779875
437	1.922131031
438	1.921715285
439	1.920687062
440	1.920306426
441	1.919935858
442	1.917391249
443	1.917245882
444	1.916485302
445	1.916330072
446	1.914793069
447	1.910707087
448	1.910033232
449	1.909252113
450	1.907972517
451	1.907863713
452	1.907683295
453	1.907443748
454	1.906769479
455	1.906751199
456	1.906750977
457	1.906475633
458	1.906350828
459	1.906320698
460	1.906141838
461	1.90607091
462	1.905567904
463	1.905358309
464	1.905255948
465	1.905254244
466	1.901770743
467	1.900888384
468	1.900719184
469	1.900717402
470	1.900032131
471	1.899560065
472	1.899558431
473	1.897202661
474	1.897201024
475	1.896674162
476	1.896340502
477	1.895292035
478	1.895022995
479	1.894718762
480	1.894466625
481	1.894380734
482	1.893510955
483	1.893509167
484	1.893507527
485	1.892880781
486	1.890905114
487	1.890816748
488	1.890508927
489	1.890412405
490	1.89000036
491	1.889998717
492	1.889996328
493	1.889865057
494	1.889864012
495	1.889746398
496	1.889307616
497	1.889300744
498	1.889299101
499	1.886882432
